id,url,platform,img,url
77,The Jewelry Guy,Shopify,https://stargems.com/assets/img/Websites/TJG.webp,https://thejewelryguy.com/
78,Gwens Fine Jewelers,Shopify,https://stargems.com/assets/img/Websites/Gwens-Fine-Jewelers.webp,http://www.gwensfinejewelers.com/
79,Jewelry Savers,Wordpress,https://stargems.com/assets/img/Websites/ewelry-Savers-Inc.webp,http://www.jewelrysavers.com/
80,Infinger's Jewelry,Shopify,https://stargems.com/assets/img/Websites/Infingers-Jewelry.webp,https://www.infingers.com/
81,Leo Hamel Fine Jewelers,Wordpress,https://stargems.com/assets/img/Websites/Leo-Hamel-Fine-Jewelers.webp,https://www.leohamel.com/
82,Richardson Jewelers Marquette,Shopify,https://stargems.com/assets/img/Websites/Richardson-Jewelers-MQT.webp,https://richardsonjewelersmqt.com/
83,K. Zander Jewelry,Shopify,https://stargems.com/assets/img/Websites/K-Zander-Jewelry.webp,https://kzanderjewelry.com/
84,Sparkles Jewelry,Shopify,https://stargems.com/assets/img/Websites/Sparkles-Jewelry.webp,http://www.sparklesjewelrymi.com/
85,David Porter Jewelry,Custom,https://stargems.com/assets/img/Websites/DPJ.webp,https://www.davidporterjewelry.com/
86,Hustedt Jewelers,Shopify,https://stargems.com/assets/img/Websites/Hustedt-Jewelers.webp,http://hustedtjewelers.com/
87,Cooper Fine Jewelers,Shopify,https://stargems.com/assets/img/Websites/COOP.webp,http://cooperfinejewelers.com/
88,Carolina Diamond Buyer,Wordpress,https://stargems.com/assets/img/Websites/Carolina-Diamond-Buyer.webp,https://carolinadiamondbuyer.com/
89,You Design We Create,Shopify,https://stargems.com/assets/img/Websites/AJs-jewelry.webp,http://youdesignwecreate.com/
90,W.P. Shelton Jewelers,Shopify,https://stargems.com/assets/img/Websites/WP-Shelton-Jewelers.webp,http://www.wpsheltonjewelers.com/
91,Borthwick Jewelry,Custom,https://stargems.com/assets/img/Websites/BJC.webp,http://http//borthwickjewelry.com
92,Wolf Jewelry and Watches,Wordpress,https://stargems.com/assets/img/Websites/Wolf-Jewelry.webp,http://thewolfjewelry.com/
93,Rocky’s Diamond Gallery,Custom,https://stargems.com/assets/img/Websites/ROCK.webp,http://www.rockysdiamonds.com/
94,Mansi Jewelry,Shopify,https://stargems.com/assets/img/Websites/Mansi-Jewelry.webp,http://mansijewelry.com/
95,Dale Robertson Jewelry,Custom,https://stargems.com/assets/img/Websites/DALE.webp,https://dalerobertsonjewelry.com/
